Company Name,Job Title,Job Description,Job Date,Scraping data from page
Pezesha,Credit Relationship Officer- SME accounts,"Pezesha, has created a holistic financial marketplace for MSMEs. By offering lending, financial education, and debt counselling to borrowers, plus a proprietary credit scoring system to vet MSMEs without a credit history, derisking lending to SMEs. Lower Risks bring commercial banks and capital providers onto Pezesha platform. As a collaborative structure, Pezesha is helping to tackle the $19 Billion financing gap for SMEs.
Pezesha is led by a highly experienced and passionate local team with more than 10 years local and international experience in fin-tech, management of growth and technology companies, and unparalleled local market knowledge and reach.","07 February, 2022",971.0
Minet Kenya,Risk and Compliance Officer,"Minet is a trusted pan-African advisor that meets the uncertainties of tomorrow by delivering risk and human capital solutions today. As the largest Aon Global Network Correspondent, Minet has access to a network of over 50,000 colleagues in 120 countries as well as proprietary data, research and analytics which enable us to manage and secure the risks of tomorrow and provide clients with an unrivalled advantage.","07 February, 2022",971.0
The Nairobi Women’s Hospital,Financial Controller,"The Nairobi Women's Hospital is a hospital in Nairobi, Kenya. The hospital was founded in 2001 by Dr. Sam Thenya and is the first of its kind in the East and Central Africa region. Even if it speciali...","07 February, 2022",971.0
Glovo,Live Operations Lead - Customer Service,"Glovo is a Spanish start-up founded in Barcelona in 2015. It is an on-demand courier service that purchases, picks up, and delivers products ordered through its mobile app.[1] It aspires to be a multi-category lifestyle app with food delivery being the most popular offering","04 February, 2022",972.0
African Resort International,Telemarketing Agent,African Resort International was founded in 2014 to provide perfect vacation homes Locally and Internationally that members can simply enjoy without worrying about day to day managing of the property...,"04 February, 2022",972.0
African Resort International,Sales and Marketing,African Resort International was founded in 2014 to provide perfect vacation homes Locally and Internationally that members can simply enjoy without worrying about day to day managing of the property...,"04 February, 2022",973.0
Plan International,Temporary Risk and Compliance Coordinator - Maternity Cover,"Plan International was founded over 75 years ago with a mission to promote and protect the rights of children.
The organisation was set up by British journalist John Langdon-Davies and refugee work...","04 February, 2022",973.0
Plan International,Temporary Risk and Compliance Coordinator – Maternity Cover,"Plan International was founded over 75 years ago with a mission to promote and protect the rights of children.
The organisation was set up by British journalist John Langdon-Davies and refugee work...","04 February, 2022",973.0
Aga Khan University Hospital,Research Assistant Nurse ( Department of Pathology),"Aga Khan University Hospitals in Karachi, Pakistan and Nairobi, Kenya are private, not-for-profit institutions providing high quality health care. The Main Hospitals serve as the principal sites for c...","04 February, 2022",973.0
Autochek Africa,Senior Marketing Lead -East Africa,Autochek Africa is an Automotive Technology development company that builds solutions aimed at enabling and enhancing commerce within the automotive sector.,"04 February, 2022",973.0
Safaricom Kenya,CVM Product Owner (Mobile Data Tribe),"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.","03 February, 2022",974.0
Bosch Africa,Business Development & Retail Marketing Manager,"The Bosch Group is a leading global supplier of technology and services, active in the fields of Mobility Solutions, Energy and Building Technology, Industrial Technology, and Consumer Goods.
Mobil...","03 February, 2022",974.0
Greenspoon,Social Media Marketing Intern,"Greenspoon is Kenya's first and only online store for conscious consumers. The company specializes in connecting customers with the source of their products and is underpinned by a philosophy that conscious consumerism can help diminish the effects of climate change, and that through changing the way humans consume we will be able to achieve lasting change.","03 February, 2022",974.0
MediaPal,Data Scientist,"MediaPal is an all-in-one tool for creating ads, managing when and where they'll run, and tracking how well your campaigns are performing","03 February, 2022",975.0
MediaPal,Data Engineer,"MediaPal is an all-in-one tool for creating ads, managing when and where they'll run, and tracking how well your campaigns are performing","03 February, 2022",975.0
Church World Service,Budget Reporting and Compliance Manager,"Church World Service (CWS) was founded in 1946 and is a cooperative ministry of 37 Christian denominations and communions, providing sustainable self-help, development, disaster relief, and refugee as...","02 February, 2022",976.0
Stellar Human Resource Solutions,Telemarketers Stellar,We are a Human Resource Management Consulting Company based in Nairobi Kenya providing a comprehensive range of Human Resources Solutions with your business needs and focus in mind.,"02 February, 2022",976.0
IQVIA,Statistical Programmer,"IQVIA, formerly Quintiles and IMS Health, Inc.,is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharm...","02 February, 2022",976.0
